触头名,针型,针径 Φ/mm,有效长度 L/mm,径向间隙 c/mm,2c/L,θ_crit/°,μ_crit,耦合顺序,入孔阶段
PE,中针,6.0,35,0.075,0.004286,0.2456,0.004286,1,S1
DC_neg,大针,10.3,29,0.09,0.006207,0.3556,0.006207,2,S2
DC_pos,大针,10.3,29,0.09,0.006207,0.3556,0.006207,3,S2
CC2,小针,3.0,40,0.06,0.003000,0.1719,0.003000,4,S3
S_neg,小针,3.0,40,0.06,0.003000,0.1719,0.003000,5,S5
S_pos,小针,3.0,40,0.06,0.003000,0.1719,0.003000,6,S5
A_neg,中针,6.0,35,0.075,0.004286,0.2456,0.004286,7,S4
A_pos,中针,6.0,35,0.075,0.004286,0.2456,0.004286,8,S4
CC1,小针,3.0,40,0.06,0.003000,0.1719,0.003000,9,S5
